residence,developer,attributes/class,attributes/construction_technology,attributes/walls,attributes/insulation,attributes/heating,attributes/num_apartments,attributes/state,attributes/protected_area,attributes/parking,financials/installmentPlan,financials/installmentPlanTerm,description,pricePerUnit,price,area,rooms,
ЖК Сирецький парк,,комфорт,"цегляна, монолітно-каркасна",цегла,"базальтова вата (базальтова плита), пінополістирол (пінопласт)",індивідуальне (в квартирі),145,"під ремонт, з чорновим ремонтом",від авто та сторонніх,"гостьовий (20 паркомісць), підземний (191 паркомісце)",true,,"Житловий комплекс «Сирецький парк» розташований в тихому районі Києва поблизу лісу, тому жителі зможуть насолоджуватися чистим повітрям і атмосферою спокою. У внутрішньому дворі будинку встановлять дитячий майданчик і турніки для занять спортом, для автомобілів передбачено будівництво підземного паркінгу на 120 місць і окремої гостьової стоянки.ІнфраструктураУ 15 хвилинах пішки від ЖК «Сирецький парк» знаходиться станція метро Сирець і міська електричка.Поруч є кілька зелених зон: дендрологічний парк, «Дубки» і Сирецький парк. В останньому відкрита дитяча залізниця, є кілька ігрових майданчиків, мотузковий парк і велодоріжки.Найближча школа №28 з поглибленим вивченням англійської мови розташована в 750 м від будинку, трохи далі школи №169, №24 та №199. Вибір дитячих садків в радіусі 1 км досить великий: №429, №428, №323, №159, №293 і №343.Ще одним плюсом життя тут є близькість до медичних установ — 5 хвилин пішки до дитячої поліклініки №3, 15 хвилин до лікарні для дорослих, близько 10 хвилин до приватних клінік ESTE line і «Сирець».Якщо любите займатися спортом, то в 500 м від ЖК працює комплекс «Сирець» з басейном, тренажерним зоною, гімнастичним залом, сауною і спа-послугами. Біля метро Дорогожичі є дитячо-юнацький спорткомплекс «Авангард» з залами для міні футболу, баскетболу та гімнастики, а також тренажерним залом «АтлетіКо».Придбати продукти ви зможете в одному з найближчих супермаркетів: «АТБ», «Фора» або «Еко-маркет». Ближче до метро розташовані заклади, в яких можна смачно пообідати в колі близьких: кафе «Неоліт», «БігБург», «Арка», «Суші WOK» та інші.Комплектаціястіни з червоної цегли М-100в кожній квартирі встановлять двоконтурний електричний котелна останніх поверхах передбачені дворівневі квартири з мансардою",,,24,1,
ЖК SALUT!,bUd development,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),1054,без ремонту,від автомобілів,підземний з ліфтом (501 паркомісце),true,,"Житловий комплекс Salut примітний своєю архітектурою — комплекс складається з двох веж, одна з яких з каскадною поверховістю. Вежа, що стоїть окремо, буде з округленими кутами, що внесе різноманітність в планування. Друга вежа з каскадною поверховістю утворює трикутник, всередині якого буде двір комплексу. Перепади висот не різкі, а плавні, з похилою покрівлею. Покрівля буде відкритою, що створює додаткові мальовничі місця для відпочинку мешканців та їх гостей.Внутрішній двір комплексу буде недоступний для проїзду автомобілів, тому мешканці зможуть спокійно гуляти по облаштованим майданчикам та зеленим зонам відпочинку. Також в проєкт входить облаштування набережної уздовж озера Глінка, адже невелике озеро на дворі — це рідкість.ІнфраструктураУ комплексу Salut зручна транспортна розв'язка: поруч станція метро, ​​зупинки громадського транспорту та одна з основних магістралей міста — бульвар Дружби Народів.З закупівлею продуктів не буде проблем — в 10 хвилинах пішки торговий центр Ocean Plaza з гіпермаркетом «Ашан», магазинами, ресторанами, кафе, кінотеатром і публічним акваріумом. Також 10 хвилин до «Фори» та Novus, а за 12 хвилин можна дійти до «Сільпо».В районі новобудови Salut розвинена інфраструктура, тому поруч магазини, шоуруми, офісні центри, відділення банків, лікарні та аптеки. За 10 хвилин на авто можна доїхати до Ізюмського та Деміївського ринків.Якщо потрібен дитячий садок у пішому доступі — 8 хвилин до дитячого садка №325, 10 хвилин до садочків №450 та «Діти Дар», 15 хвилин до школи-садка «Малятко» та дошкільного навчального закладу №720. Для дітей старшого віку поруч школи Печерського району: школа №80, школа №47, школа №181, №133 та №88. Для додаткових занять поруч школи танців, школа талантів Наталії Могилевської, дитячі школи розвитку.Позайматися йогою можна буде на внутрішньому дворі комплексу, а сходити на тренування з тренером можна через дорогу в спортивні клуби «Ваш Тренер», Kiev Sport Club, у FitCurves або Sport Plaza.Особливостіпродумані планування в яких використовується кожен квадратний метроблаштовані спортивні майданчики, дитячі ігрові зони та місця для відпочинку, в тому числі вздовж берега озерапанорамні краєвиди на місто з вікон комплексувласний торговий центр на перших поверхах однієї з веж",63800,2807200,44,1,
ЖК Forest Park,ZIM Group,комфорт,"цегляна, монолітно-каркасна","цегла, газоблок (газобетон)","мінеральна вата, пінополістирол (пінопласт)","автономне (в будинку), індивідуальне (в квартирі)",470,під ремонт,від авто та сторонніх,"гостьовий, підземний (355 паркомісць)",true,,"Житловий комплекс Forest Park в Оболонському районі Києва — це альтернатива квартирам «на асфальті», житло для тих, хто вважає за краще жити на природі та дихати свіжим повітрям. Малоповерховий житловий квартал розташований посеред соснового лісу, в 30 хвилинах автомобілем від центру столиці та в 13 хвилинах від Межигір'я. За проєктом на території будуть ігрові майданчики для дітей, міні-стадіон, паркінг, медичний центр, аптеку, кафе, відділення банку та невеликий бізнес центр.ІнфраструктураДля зручності мешканців на території житлового кварталу передбачений міні-супермаркет. Також купити продукти можна в 2 хвилинах від будинку в супермаркеті «Фора», а до продуктових супермаркетів «АТБ», «Космос» або «ЕКО-маркет» автомобілем 13 хвилин. Стільки ж часу займе дорога до найбільшого торгово-розважального центру столиці Dream Town, де відкриті бутики, кафе та ресторани. Дітей в Dream Town чекає роллердром, ковзанка, зоопарк, атракціони та один з найбільших критих аквапарків Європи — аквапарк Юрського періоду Dream Island.Для малюків на території Forest Park побудують дитячий садочк. Поруч знаходяться й інші дошкільні установи: до дитячих садків №607 і №804 автомобілем 12 хвилин, а до дитячого садка №613 та навчально-освітнього комплексу «Всезнайка» можна доїхати за 14 хвилин. Школярі зможуть відвідувати школу, розташовану в хвилині пішки від житлового кварталу, а до муніципальної школи №285, спеціальних шкіл №9 та №29 автомобілем 10 хвилин.На території комплексу проєктом передбачено власний міні-стадіон, де цілий рік можна займатися активними видами спорту, йогою та фітнесом. У 12 хвилинах автомобілем від новобудови фітнес-центр Sportlife з басейном, тренажерною залою, студією для групових занять, дитячою фітнес-програмою та SPA процедурами, а також спортивна зала «Мінський масив».Особливостівласна служба безпеки, пости охорони та патрулювання, цілодобове відеоспостереження за територією та парковкоюопалення та гаряче водопостачання — німецькі двоконтурні котли конденсаційного типуенергозберігаючі вікна — ПВХ системи ViknaLand, п'ятикамерний профіль, двокамерні склопакетифасади утеплені мінеральною ватою та оштукатурені силіконовою водовідштовхуючою штукатуркою",,,40,1,
ЖК Welcome Home на Стеценка,Фундамент,економ,панельна,залізобетон,"мінеральна вата, пінополістирол (пінопласт)",індивідуальне (в квартирі),1616,"без ремонту, під ремонт",від авто та сторонніх,гостьовий,true,,"Новий житловий комплекс Welcome Home на Стеценка знаходиться в Святошинському районі міста Києва, біля проспекту Палладіна. Поруч рекреаційна зона Пуща-Водиця. Парки, озера, велосипедні доріжки, - всі щедроти природи за крок.Це багатосекційні будинки, висотою в 6-7 поверхів на основі виробів виробництва заводу ДБК-3. В наявності вже традиційні для нас переваги, такі як: раціональні планування, вітражні вікна від підлоги, продумана архітектура і цікаві фасади будівель. Низькоповерхова забудова ділянки, разом з цікавим благоустроєм дасть відчуття комфортного перебування в кожному куточку комплексу.До речі, на поверхах буде всього по чотири квартири, що, погодьтеся, також завжди дуже привабливо для покупців. Сподіваємося, таке проєктне рішення створить усі умови для теплих добросусідських відносин.В ЖК Welcome Home на Стеценка свідомо не створювали великий портфель планувальних рішень. Їх всього чотири. Селекціоновано такі планування, які користуються найбільшим попитом в наших поточних проєктах і отримали продукт ідеально відповідний і локації об'єкта, і цільової аудиторії в даному ціновому сегменті нерухомості.Однокімнатні квартири 36-37 м2 і 48 м2. Двокімнатні 55 м2. При цьому в кожній квартирі в наявності одна кімната 17 м2. В однокімнатних є кухні-вітальні близько 16 м2.Будівельна група «Фундамент» в даному проєкті пропонує продукт, в якому на сьогодні є лідером серед забудовників і девелоперів столичного ринку нерухомості. Це швидкісна технологія будівництва - до одного року з моменту старту будівельних робіт. Отже, ми говоримо про короткострокові інвестиції та мінімізаціюризиків при покупці на початковій стадії робіт, і, нарешті, ми говоримо про доступний квадратний метр.ЖК Welcome Home на Стеценка - це проєкт, в якому б концепція житлового комплексу виражалається не тільки в логотипі або короткострокових рекламних кампаніях під час продажу. Хотілось втілити проєкт з такою родзинкою у благоустрої та архітектурі, яка б кожен день радувала жителів комплексу.З’явилася ідея створення житлового арт-кварталу, де б арт-об’єкти були створені в рамках єдиної теми та стилістики.Тематикою обраний тваринний світ, а саме - співочі птахи України. Тема має величезний потенціал - малі архітектурні форми для дитячих площадок, мурали на фасадах будинків та інше. Долучитися до такого виду творчості мешканці зможуть вже досить скоро. По-перше, готовність першої черги Welcome Home на Стеценка  вже у грудні 2016 року. А по-друге, вибір декількох арт-об’єктів проходитиме шляхом голосування покупців.",47750,1766750,37,1,
ЖК Чарівне Місто,Київміськбуд,комфорт,"цегляна, монолітно-каркасна, панельна",цегла,мінеральна вата,централізоване,1336,під ремонт,ні,підземний,true,,"ЖК «Чарівне Місто» — міні-містечко між лісом та парком. Двори «П»-образної форми будуть закриті від машин, а всередині обладнають дитячі ігрові зони, спортивні тренажери, зелені алеї для прогулянок та місця відпочинку.ІнфраструктураЗаради економії часу та зручності мешканців у комплексі «Чарівне Місто» побудують торговий центр. До супермаркетів великих торгових мереж «Сільпо», «Варус», «Фора», «Фуршет» та «АТБ» їхати 5-10 хвилин на авто. Також за 10 хвилин можна доїхати за продуктами у гіпермаркет «Метро», на ринки «Вирлиця» або «Дарницький».На території комплексу буде відкрито початкову школу та дитячий садок. За 8-10 хвилин на машині можна доїхати до дошкільного навчального закладу з яслами №696 та дитячих садків №59, №99, №678. Для школярів поруч: спеціалізована школа №113 — 4 хвилини на авто, Київський будівельний ліцей і школа №217 — 8 хвилин на авто, ліцей «Інтелект» та гімназія №261 — 9 хвилин на авто, а також спеціалізована школа «Тріумф».Дорога у класичні тренажерні зали, фітнес-центри з програмами для жінок або школу єдиноборств будет займати 5-10 хвилин на авто. У лісі, через дорогу від новобудови, пейнтбольний клуб.Крім ТРЦ, торговельні площі будуть доступні на нульових поверхах будинків. Проєктом передбачені приміщення різних комерційних профілів: під офіси, магазини, салони краси, ресторани, творчі майстерні та приватні медичні кабінети.Житловий комплекс «Чарівне Місто» оточений зеленню: з одного боку ліс, а з іншого — парк. У Парку партизанської слави є атракціони, прокат велосипедів, дитячі розваги та місця для відпочинку. Нікольський ліс — гарне місце для пробіжок та катання на велосипеді: через ліс проходить «стежка здоров'я» для бігу та кілька веломаршрутів.Особливостіпланування дворівневих квартир з власною терасоювідкриті гостьові стоянки та підземний паркінг з зарядками для електрокарів",40150,1565850,39,1,
ЖК Метро парк,Будівельна група PARK,комфорт,монолітно-каркасна,"цегла, газоблок (газобетон)",мінеральна вата,індивідуальне (в квартирі),148,з чорновим ремонтом,від автомобілів,гостьовий,true,,,36725,1358825,37,1,
Житловий район Rybalsky,,бізнес,монолітно-каркасна,цегла,мінеральна вата,централізоване,1420 (6 будинків),без ремонту,ні,підземний (987 паркомісць),true,3,"Де розташованийЖитловий район Rybalsky відноситься до Подільського району Києва і розміщений на Рибальському півострові. Комплекс межує з територією старого Подолу і знаходиться неподалік історичного центру Києва.У 15 хвилинах від комплексу є дві станції метро: Контрактова площа та Поштова площа, по периметру території розташовані зупинки громадського транспорту.Архітектура і екстер’єрУ проєкті ЖК - 9 житлових будинків, кожен з яких представляє собою окремий «квартал». Максимальна висота забудови - 9 поверхів, а в дизайні комплексу поєднуються елементи архітектури старого Подолу і сучасні будівельні тенденції.У ЖК заплановані підземні дворівневі паркінги. Вони дозволять звільнити простір житлового району від машин.Матеріали і технологіїКомплекс будується за монолітно-каркасною технологією, стіни - цегляна кладка, утеплювач - мінеральна вата. При оздобленні фасаду використовується клінкерна плитка, що є стійкою до зношування. У будинках передбачені відкриті лоджії і великі віконні отвори, тому в квартирах буде багато денного світла.Що всередині: інфраструктура і особливості комплексуНа території ЖК планують побудувати освітній центр RYBALSKY Family Port. Для мешканців комплексу обладнають водний канал і набережну протяжністю 330 м. На перших поверхах кожного будинку-кварталу знаходяться комерційні приміщення, в яких розмістяться ресторани, салони, магазини і аптеки. Також на території комплексу будуть фітнес-клуби, медичні заклади та відділення банків.Для того, щоб зробити проживання ще більш комфортним, у комплексі створена керуюча компанія Atmosfera. Вона супроводжує покупців на всіх етапах - від оформлення документів на квартиру до вирішення побутових проблем.Детальніше про проєкт можна дізнатися у відділі продажу, а також на офіційному сайті або сторінці Facebook.",87200,4272800,49,1,
ЖК Star City,BudCapital,комфорт,монолітно-каркасна,газоблок (газобетон),мінеральна вата,централізоване,"1034 (1, 4 будинки)",без ремонту,від авто та сторонніх,підземний (1311 паркомісць),true,,"Star City продовжує столичну тенденцію перетворення промислових районів міста в житловий простір. Star City — це багатоповерховий житловий комплекс з власною концепцією та інфраструктурою, сусід Comfot Town.Будинки заввишки у 25 поверхів розподілені по периметру ділянки, усередині якого будуть розташовані громадський простір: паркова зона з прогулянковими алеями, місця для відпочинку, дитячі ігрові зони та спортивні майданчики.ІнфраструктураДля внутрішньої інфраструктури в комплексі Star City призначені перші поверхи, де відкриють аптеки, офіси банків, сервісні послуги, кафе або магазини. Крім того, на території буде збудовний торгово-офісний центр. Також для найменших мешканців комплексу відкриють дитячий садок на 115 місць. Для доросліших дітей передбачено відкриття школи-гімназії на 660 місць.Сходити за продуктами мешканці Star City зможуть в Novus, до якого пішки 15 хвилин. До супермаркетів «АТБ», «Фуршет» та «Сільпо» від 5 до 10 хвилин їзди на авто. Сухофрукти й солодощі, товари для будинку, квіти та іграшки можна знайти на ринку «Комфорт», до якого 4 хвилини їзди або 18 хвилин пішки. За 8 хвилин їзди на авто павільйони свіжих овочів, фруктів та фермерської продукції «Дарницького» ринку.Крім дитячих садів на території, в декількох хвилинах їзди вже працюють дитячі садки №192, №643, №455, №675 та дитячий сад «Країна Дитинства». Найближчі школи — академія сучасного навчання А +, гімназія А + з поглибленим вивченням іноземних мов, школа №66, школи 1-3 ступенів №42 №146.Якщо займаєтеся спортом та не полюбляєте пропускати тренування — за 10 хвилин від комплексу розташований мережевий фітнес-клуб SportLife з залами для групових занять та дитячого фітнесу. Для шанувальників плавання на відстані 15 хвилин ходьби розташований басейн «Ювілейний».Комплектаціятериторія закритого типу з цілодобовою охороною території й відеоспостереженнямдля зберігання автомобілів передбачено будівництво паркінгу на 5 поверхівквартири здають без ремонту та оздоблення",44500,1513000,34,1,
ЖК White Lines,A Development,бізнес,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),566,під ремонт,від авто та сторонніх,підземний (687 паркомісць),true,,"Футуристична архітектура, контраст білих ліній та панорамного скління — це житловий комплекс White Lines. Три білі вежі будуть об'єднані спільною стилобатною частиною, де відкриють торговий центр. Торгова й житлова зони будуть розмежовані, тому покупці торгового центру не будуть створювати дискомфорт мешканцям комплексу.Дах стилобатної частини White Lines — це власний парк розміром 1 гектар з дитячим та спортивним майданчиками, місцями для відпочинку та прогулянок на свіжому повітрі.Розробкою проєкту займалася архітектурна майстерня ARCHIMATIKA. У проєкті архітектори реалізували три завдання: реновацію території — на місці комплексу була стара кінокопіювальна фабрика; створення багатофункціонального комплексу — за це відповідає торговий центр на території; та архітектурну задачу — завдяки своєму стилю White Lines стане будівлею-символом району. Проєкт потрапив до шорт-листу міжнародного професійного конкурсу World Architecture Festival.ІнфраструктураДістатися до комплексу буде зручно на громадському транспорті та на авто: до зупинок маршруток, автобусів та метро можна дістатися пішки, а для автомобілістів поруч одна з найбільших магістралей міста — Голосіївський проспект.Інфраструктурна начинка комплексу White Lines допоможе майбутнім мешканцям економити час та знизити рівень маятникової міграції — людям не потрібно буде кудись їхати, щоб зробити покупки або провести дозвілля. Мешканці White Lines зможуть просто спуститися до супермаркету «Сільпо», одного з 150 магазинів та бутиків торгового комплексу. Супермаркет у комплексі — це добре, але ще краще, коли є вибір: 3 хвилини на авто до «Великої Кишені», 7 хвилин до «Еко-маркету», 8 хвилин до «Білли».Свій дитячий садок також буде у стилобатній частині комплексу, дитячий майданчик якого буде виходити на паркову зону даху стилобату. До інших дитячих садків району можна дістатися пішки — поруч садки №198, №643 та дошкільний заклад з яслами №717.Для занять спортом буде відкрито спортивний комплекс з басейном: хвилина на ліфті — та ви на тренуванні. До інших спортивних комплексів району на авто їхати 5-10 хвилин. Виходити на пробіжку у будь-який час можна в Голосіївський парк, де також є зручні маршрути для катання на велосипеді.Особливостібільше 50 типів планувань з великими кухнями та ванними кімнатамиу кожній вежі 4 ліфти — 3 пасажирських та 1 вантажнийна верхніх поверхах дворівневі квартири з двоповерховими холами та відкритими терасамиза білими лініями фасаду будуть заховані кондиціонери, що дозволяє не псувати зовнішній вигляд комплексу хаотично встановленими блоками кондициюваннякількість місць у підземному паркінгу перевищує кількість квартиртериторія комплексу під цілодобовою охороною та відеоспостереженням",112775,9473100,84,2,
ЖК Лондон Парк,,бізнес,монолітно-каркасна,газоблок (газобетон),мінеральна вата,індивідуальне (в квартирі),144,без ремонту,від авто та сторонніх,гостьовий,true,,"Житловий комплекс «Лондон Парк» — це шматочок Лондона в столиці України. Проєктом передбачені квартири комфорт-класу, преміальні апартаменти, дворівневі планування та квартири-студії, а озеленений двір схожий на парк з дитячими «містечками», спортивним майданчиком, місцями для відпочинку та прогулянковими алеями.ІнфраструктураПридбати продукти поблизу житлового комплексу «Лондон Парк» можна в магазинах великих торгових мереж та на декількох ринках міста. Найближчий до будинку «АТБ-Маркет» за 3 хвилини на авто, до «Сільпо», Novus або ТЦ Metro Cash & Carry можна доїхати за 5-7 хвилин, а до ринків Столичний та Одеський — за 8 хвилин. Поруч з комплексом декілька кафе та ресторанів, де можна пообідати, зустрітися з друзями або відзначити сімейне свято. За 9 хвилин автомобілем від новобудови розташований ТРЦ «Магелан» з зоною розваг для дітей та дорослих, більярдом, боулінгом, мультиплексом «Лінія кіно» та продуктовим гіпермаркетом.Для школярів за 8 хвилин пішого ходу школа №260, а за 5-8 хвилин на авто — початкова школа Liko School, школа №132, школа «РобоКод», ThinkGlobal та школа з поглибленим вивченням іноземних мов №220. Дошкільнята зможуть відвідувати кілька дитячих садків району: до дитячого садка №196 — автомобілем 3 хвилини, до дитячого садка №211 — 4 хвилини, а до дитячого садка «Ліко Світ» можна доїхати за 7 хвилин.За 9 хвилин пішого ходу від житлового комплексу «Лондон Парк» розташована дитячо-юнацька спортивна школа №15, а дорослі фанати спорту можуть займатися в спортивному клубі iGym або фітнес-клубі Sport Life Теремки з заняттями з плавання, аквафітнесу та іншим авторським програмам від тренерів.За 5 хвилин від новобудови розташовані дитяча поліклініка «Мамин дім», міська поліклініка №2 та медична клініка «Добробут».Насолодитися відпочинком на природі, покататися на велосипеді або роликах можна в Голосіївському парку, а за 10 хвилин на авто від будинку — мотузковий парк та дитячий парк атракціонів. Є в районі новобудови й інші цікаві місця: ВДНГ, іподром та Київський зоопарк.Особливостібезпека - огорожа по периметру ділянки, відеодомофон, металеві вхідні дверіенергоефективність — стіни з газоблоків блоків додатково утеплені та покриті штукатуркою, встановлені металопластикові вікна з п'ятикамерним профілем та двокамерними склопакетамиавтономність — власна трансформаторна підстанціяопалення — індивідуальні електричні конвекторигаряче водопостачання — електричний бойлер в кожній квартирізарядна система для електрокарів мешканців",32750,1048000,32,1,
ЖК Orange City,GEOS,комфорт,монолітно-каркасна,газоблок (газобетон),мінеральна вата,автономне (в будинку),1215,без ремонту,від автомобілів,наземний багаторівневий (182 паркомісця),true,3,"Київські забудовники займають не тільки території промзон, а й облагороджують незаймані місця — такі як округу Лисої гори. Orange City — проєкт компанії GEOS зі створення житлового комплексу, вписаного в природний ландшафт парку дикої природи Лиса гора: серед пустирів та заростей прокладуть велосипедні маршрути, бігові доріжки та алеї для прогулянок. Ще на території буде невелике озеро та зелена зона для відпочинку або пікніків з друзями.Для оформлення будинків була підібрана яскрава палітра сонячних кольорів та відтінків помаранчевого, щоб навіть у похмурі дні Orange City не був однотонними сірими багатоповерхівками.ІнфраструктураКонцепція інфраструктури комплексу Orange City — це «місто в місті». У проєкт розвитку входить будівництво торгового центру, куди мешканці комплексу зможуть ходити за покупками та сервісними послугами. Варто зазначити, що такі великі комплекси завжди привертають увагу для розвинення інфраструктури коли з'являються мешканці.Сім'ї з маленькими дітьми зможуть залишати дитину в одному з двох дитячих садків на території комплексу. Для доросліших дітей побудують власну школу на 900 учнів, а до інших шкіл району можна доїхати за 10-15 хвилин на авто. Для додаткових занять відкриють дитячі центри розвитку та творчості.Займатися спортом можна буде на спортивних майданчиках комплексу та вийти на пробіжку на спеціальні бігові маршрути. За 10 хвилин на авто можна доїхати до мережевих тренажерних залів ALPHA SPORT та Zgym.Особливостінизька щільність забудови районупанорамний краєвид на зелені райони столиціаптеки та медичний центр на території комплексуфутбольне поле, баскетбольне поле, а для екстремальних видів спорту — скейт паркдо здачі першої черги будівництва буде запущено два напрямки маршрутних таксі, перше до метро Голосіївська та друге до метро Либідськапланування смарт-квартир з оптимальним зонуванням простору, де використовується кожен метр",30750,1168500,38,1,
ЖК Symbol,bUd development,комфорт,монолітно-каркасна,цегла,мінеральна вата,централізоване,374,без ремонту,від автомобілів,"гостьовий, підземний",true,,"Сучасний житловий комплекс заввишки в 24 поверхи, який розташований в історичному центрі Києва — це про Symbol. Будівлю зводятьна стилобаті: в нижній частині передбачений підземний паркінг, зверху — двір з ландшафтним дизайном, що включає в себе функціональні зони для ігор, занять спортом і відпочинку, а також гостьову стоянку.Одним з вагомих переваг комплексу стануть панорамні види на все місто з вікон вашої майбутньої квартири. Завдяки рішенню встановити французькі вікна квартири будуть світлі і просторі. Окремо варто сказати про зовнішній вигляд ЖК — це будівля з нестандартним архітектурним рішенням: форма трикутної зірки, багаторівневий фасад, контрастне чорно-біле опорядження. Щоб не зіпсувати екстер'єр блоками від кондиціонерів, забудовник передбачив спеціальні ніші під колір фасаду.ІнфраструктураНовий житловий комплекс Symbol будують в Шевченківському районі, за адресою вул. Багговутівська, 16. Це 15 хвилин пішки до станції метро «Лук'янівська» та 12 хвилин на авто до Майдану Незалежності. Недалеко від будинку проїжджають тролейбуси №6, №18, №28 та №33, маршрутні таксі №181 і №586, автобус №31.В окрузі розташовано безліч медичних установ: госпіталь з поліклінікою ГУ МВС України, Інститут «ПАГ», інститут вертебрології і реабілітації, центр дитячої кардіології та кардіохірургії, дитяча лікарня №8 і медмістечко.У вільний час можна прогулятися в парку Котляревського в 5 хвилинах пішки, парку імені Гейдара Алієва, Бабин Яр, Кирилівський гай і Куренівський парк — 5 хвилин на авто. До Київського зоопарку ви доїдете за 8 хвилин на машині, а до Пейзажної алеї — за 10 хвилин.Пройтися по магазинах і відвести дитину пограти в ігрову кімнату можна в ТРЦ «Променада центр» — до нього кілька хвилин пішки. За продуктами теж далеко ходити не потрібно: Billa та «Сільпо» — 200 м, «АТБ» — 450 м, «Фора» і ще один «АТБ» — 900 м.Для найменших мешканців девелопер планує відкрити власний дитячий сад на першому поверсі будинку, з державних поруч №544 з яслами, №180, №40 з яслами, №130 і україно-німецький дитячий сад. Старшим дітям недовго пройтися до шкіл №1 та №70. У вільний час можна відвідувати музичну школу №26 і мовні курси.Для занять спортом підійде тренажерний зал Sport Life, який відкрили в ТРЦ «Променада центр», студія танців Dance BangFit Studio, фітнес-клуб «Сенсей» і спортклуб «Супутник».Комплектаціяінтерактивні елементи для ігор на дитячому майданчикубіля під'їзду передбачена парковка для велосипедівасортимент квартир включає в себе одно-, дво- і трикімнатні апартаменти",54050,1675550,31,1,
