residence,developer,description,address,district,class,ceilingHeight,numApartmentsTotal,year,pricePerSquareMeter,price,area,rooms,floor,minutesToCityCenter,assess,crimeRateInDistrict
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,2440375,35,1,9,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,75925,2809225,37,1,24.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,75925,3037000,40,1,24.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,75925,3188850,42,1,24.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,2928450,42,1,25.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,2998175,43,1,25.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,2998175,43,1,25.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3137625,45,1,6,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3137625,45,1,,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3207350,46,1,25.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3207350,46,1,9,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3277075,47,1,9,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,75925,3568475,47,1,24.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3625700,52,1,25.5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,69725,3625700,52,1,,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,62725,4077125,65,2,5,156,52536,2317
ЖК Метрополіс,DIM,"The new ""Metropolis"" residential complex in Kyiv is located in the Holosiivskyi district at 1 Akademika Zabolotny Street. A trolleybus and bus stop is a three-minute walk away, and the metro station is a little further away. There is an intersection nearby, which allows you to reach any part of the capital. Features of the construction The new building consists of four apartment buildings, which are designed in a single architectural style. ""Metropolis"" is a residential complex for modern people, which is built from environmentally friendly materials with the use of promising technologies. During construction, methods of increasing energy efficiency are used, which ensure low heating costs and a high level of comfort. The load-bearing structures of the houses are made of monolithic reinforced concrete, the external walls are reliably insulated with mineral wool slabs. Numerous reviews on the capital's forums confirm the excellent quality of the works. InfrastructureHolosiivskyi forest is located in the neighborhood, there are many places for sports nearby, which is very convenient for those who lead a healthy lifestyle and decided to buy an apartment in the ""Metropolis"" residential complex in Kyiv from the developer "" DIM"" as a place of permanent residence. Near the new building there is a large shopping center, a school, a kindergarten and shops. On the territory, works are being carried out with elements of landscape design. There is a pumping station with artesian water, a park area, walking paths, sports and children's playgrounds. Guest parking spaces and underground parking are being built, sidewalks, traffic lanes and pedestrian paths are being laid. Cozy lobbies are being organized on the first floors of buildings, and high-speed silent elevators are being installed. Realization of housing Apartments with modern ergonomic layouts are offered for sale. The house is handed over to the buyer in a state of readiness for repair, window units with energy-saving glass are installed. Photos of the new building and rendered images are published on the official website. You can find out the address of the office of the company in which apartments are sold in the ""Metropolis"" residential complex, prices and availability of housing by calling the phone number indicated on the contact page.","вул. Академіка Заболотного, 1",Голосіївський р-н,комфорт,2,2857,2023,62725,4077125,65,2,18,156,52536,2317
